test	result
TestMediaWithoutFileName/parallel/Can_download_without_a_file_name_over_federation	FAIL
TestMediaWithoutFileName/parallel/Can_upload_without_a_file_name	PASS
TestNetworkPartitionOrdering	FAIL
TestOutboundFederationIgnoresMissingEventWithBadJSONForRoomVersion6	FAIL
TestOutboundFederationProfile	FAIL
TestOutboundFederationProfile/Outbound_federation_can_query_profile_data	FAIL
TestOutboundFederationSend	FAIL
TestRemoteAliasRequestsUnderstandUnicode	FAIL
TestRemotePngThumbnail	FAIL
TestRemotePresence	FAIL
TestRemoteTyping	FAIL
TestRestrictedRoomsLocalJoin	FAIL
TestRestrictedRoomsLocalJoin/Join_should_fail_initially	PASS
TestRestrictedRoomsLocalJoin/Join_should_fail_when_left_allowed_room	FAIL
TestRestrictedRoomsLocalJoin/Join_should_fail_with_mangled_join_rules	PASS
TestRestrictedRoomsLocalJoin/Join_should_succeed_when_invited	FAIL
TestRestrictedRoomsLocalJoin/Join_should_succeed_when_joined_to_allowed_room	PASS
TestRestrictedRoomsLocalJoinInMSC3787Room	FAIL
TestRestrictedRoomsLocalJoinInMSC3787Room/Join_should_fail_initially	PASS
TestRestrictedRoomsLocalJoinInMSC3787Room/Join_should_fail_when_left_allowed_room	FAIL
TestRestrictedRoomsLocalJoinInMSC3787Room/Join_should_fail_with_mangled_join_rules	PASS
TestRestrictedRoomsLocalJoinInMSC3787Room/Join_should_succeed_when_invited	FAIL
TestRestrictedRoomsLocalJoinInMSC3787Room/Join_should_succeed_when_joined_to_allowed_room	PASS
TestRestrictedRoomsRemoteJoin	FAIL
TestRestrictedRoomsRemoteJoin/Join_should_fail_initially	PASS
TestRestrictedRoomsRemoteJoin/Join_should_fail_when_left_allowed_room	FAIL
TestRestrictedRoomsRemoteJoin/Join_should_fail_with_mangled_join_rules	PASS
TestRestrictedRoomsRemoteJoin/Join_should_succeed_when_invited	FAIL
TestRestrictedRoomsRemoteJoin/Join_should_succeed_when_joined_to_allowed_room	FAIL
TestRestrictedRoomsRemoteJoinFailOver	FAIL
TestRestrictedRoomsRemoteJoinFailOverInMSC3787Room	FAIL
TestRestrictedRoomsRemoteJoinInMSC3787Room	FAIL
TestRestrictedRoomsRemoteJoinInMSC3787Room/Join_should_fail_initially	PASS
TestRestrictedRoomsRemoteJoinInMSC3787Room/Join_should_fail_when_left_allowed_room	FAIL
TestRestrictedRoomsRemoteJoinInMSC3787Room/Join_should_fail_with_mangled_join_rules	PASS
TestRestrictedRoomsRemoteJoinInMSC3787Room/Join_should_succeed_when_invited	FAIL
TestRestrictedRoomsRemoteJoinInMSC3787Room/Join_should_succeed_when_joined_to_allowed_room	FAIL
TestRestrictedRoomsRemoteJoinLocalUser	FAIL
TestRestrictedRoomsRemoteJoinLocalUserInMSC3787Room	FAIL
TestRestrictedRoomsSpacesSummaryFederation	FAIL
TestRestrictedRoomsSpacesSummaryLocal	PASS
TestSendJoinPartialStateResponse	FAIL
TestSyncOmitsStateChangeOnFilteredEvents	FAIL
TestToDeviceMessagesOverFederation	FAIL
TestToDeviceMessagesOverFederation/good_connectivity	FAIL
TestToDeviceMessagesOverFederation/interrupted_connectivity	FAIL
TestToDeviceMessagesOverFederation/stopped_server	FAIL
TestUnbanViaInvite	FAIL
TestUnknownEndpoints	FAIL
TestUnknownEndpoints/Client-server_endpoints	PASS
TestUnknownEndpoints/Key_endpoints	FAIL
TestUnknownEndpoints/Media_endpoints	PASS
TestUnknownEndpoints/Server-server_endpoints	PASS
TestUnknownEndpoints/Unknown_prefix	PASS
TestUnrejectRejectedEvents	FAIL
TestUserAppearsInChangedDeviceListOnJoinOverFederation	FAIL
TestWriteMDirectAccountData	PASS
